# datatable_memcomp Version: 4.0.5-beta17
# common_memcomp Version: 4.0.5-beta20
# lang compiler Version: 4.1.6-beta1 Jul 19 2012 13:55:19 
# High Density Dual Port SRAM RVT RVT Compiler 
#  LOGIC0040LL 40nm Process 0.589um^2 Bit Cell, RAM-DP Datatable, Version r1p1
# Copyright 1993-2024 ARM Limited. All Rights Reserved
# Instance Name=SRAMdpw64d256
# Process=LOGIC0040LL 
# Words=256 
# Bits=64 
# Mux=4 
# Write Mask=off 
# Extra Margin Adjustment=on 
# Redundancy=off 
# Soft Error Repair=none 
# BIST Muxes=on 
# Output Drive=6 
# Power Routing Type=otc 
# Top Metal=m5-m10 
# Frequency=1 MHz 
# Power Gating=off 
# Retention=on 
# Back Biasing=off 
# Read Disturb Test=off 
# Pipeline=off 
# Write-thru=off 
# Units used in Datatable
# Area          : uM^2
# Voltage       : volts
# Temperature   : Degree Celsius
# Current       : mA
# Time          : ns
name      	ff_1p21v_1p21v_m40c	
S		N
geomx     	442.4300  
geomy     	69.9450   
volt      	1.2100    
temp      	-40.0000  
# Cycle time specific information. 
tcyc_ema0 	0.8534    
tcyc_ema1 	0.8953    
tcyc_ema2 	0.9305    
tcyc_ema3 	1.0101    
tcyc_ema4 	1.0546    
tcyc_ema5 	1.1041    
tcyc_ema6 	1.1636    
tcyc_ema7 	1.2325    
# Access time specific information. 
taccq_rd0 	0.4793    
taccq_rd1 	0.4793    
taccq_rd2 	0.4793    
taccq_rd3 	0.4793    
taccq_rd4 	0.4793    
taccq_rd5 	0.4793    
taccq_rd6 	0.4793    
taccq_rd7 	0.4793    
taccq_scan	0.2222    
# Scan delay time specific information. 
tclkso_rd0	0.5027    
tclkso_rd1	0.5027    
tclkso_rd2	0.5027    
tclkso_rd3	0.5027    
tclkso_rd4	0.5027    
tclkso_rd5	0.5027    
tclkso_rd6	0.5027    
tclkso_rd7	0.5027    
tclkso_scan	0.2629    
# Standard memory feature setuphold specific information. 
tas       	0.1539    
tah       	0.1348    
tcens     	0.1955    
tcenh     	0.1315    
twens     	0.1072    
twenh     	0.1374    
tds       	0.0163    
tdh       	0.1590    
# Standard memory input capacitance information.  
icap_a    	0.0038    
icap_clk  	0.0142    
icap_cen  	0.0037    
icap_d    	0.0041    
icap_wen  	0.0034    
kload_q   	0.4526    
# Clock collision specific information. 
tcc_rd0   	0.4366    
tcc_rd1   	0.4785    
tcc_rd2   	0.5137    
tcc_rd3   	0.5934    
tcc_rd4   	0.6378    
tcc_rd5   	0.6873    
tcc_rd6   	0.7468    
tcc_rd7   	0.8157    
tcc_wr0   	0.4366    
tcc_wr1   	0.4785    
tcc_wr2   	0.5137    
tcc_wr3   	0.5934    
tcc_wr4   	0.6378    
tcc_wr5   	0.6873    
