# datatable_memcomp Version: 4.0.5-beta17
# common_memcomp Version: 4.0.5-beta20
# lang compiler Version: 4.1.6-beta1 Jul 19 2012 13:55:19 
# High Density Dual Port SRAM RVT RVT Compiler 
#  LOGIC0040LL 40nm Process 0.589um^2 Bit Cell, RAM-DP Datatable, Version r1p1
# Copyright 1993-2024 ARM Limited. All Rights Reserved
# Instance Name=SRAMdpw64d256
# Process=LOGIC0040LL 
# Words=256 
# Bits=64 
# Mux=4 
# Write Mask=off 
# Extra Margin Adjustment=on 
# Redundancy=off 
# Soft Error Repair=none 
# BIST Muxes=on 
# Output Drive=6 
# Power Routing Type=otc 
# Top Metal=m5-m10 
# Frequency=1 MHz 
# Power Gating=off 
# Retention=on 
# Back Biasing=off 
# Read Disturb Test=off 
# Pipeline=off 
# Write-thru=off 
# Units used in Datatable
# Area          : uM^2
# Voltage       : volts
# Temperature   : Degree Celsius
# Current       : mA
# Time          : ns
name      	ss_0p99v_0p99v_m40c	
S		N
geomx     	442.4300  
geomy     	69.9450   
volt      	0.9900    
temp      	-40.0000  
# Cycle time specific information. 
tcyc_ema0 	2.4889    
tcyc_ema1 	2.6014    
tcyc_ema2 	2.6809    
tcyc_ema3 	2.8253    
tcyc_ema4 	3.0378    
tcyc_ema5 	3.1701    
tcyc_ema6 	3.3352    
tcyc_ema7 	3.4464    
# Access time specific information. 
taccq_rd0 	1.7892    
taccq_rd1 	1.9016    
taccq_rd2 	1.9812    
taccq_rd3 	2.1256    
taccq_rd4 	2.3381    
taccq_rd5 	2.4704    
taccq_rd6 	2.6355    
taccq_rd7 	2.7467    
taccq_scan	0.8595    
# Scan delay time specific information. 
tclkso_rd0	2.0213    
tclkso_rd1	2.1338    
tclkso_rd2	2.2133    
tclkso_rd3	2.3577    
tclkso_rd4	2.5702    
tclkso_rd5	2.7025    
tclkso_rd6	2.8676    
tclkso_rd7	2.9788    
tclkso_scan	1.0916    
# Standard memory feature setuphold specific information. 
tas       	0.3964    
tah       	0.3464    
tcens     	0.4326    
tcenh     	0.3453    
twens     	0.2939    
twenh     	0.3393    
tds       	0.1480    
tdh       	0.3814    
# Standard memory input capacitance information.  
icap_a    	0.0032    
icap_clk  	0.0127    
icap_cen  	0.0031    
icap_d    	0.0040    
icap_wen  	0.0029    
kload_q   	0.9287    
# Clock collision specific information. 
tcc_rd0   	1.2131    
tcc_rd1   	1.3255    
tcc_rd2   	1.4051    
tcc_rd3   	1.5495    
tcc_rd4   	1.7620    
tcc_rd5   	1.8943    
tcc_rd6   	2.0594    
tcc_rd7   	2.1706    
tcc_wr0   	1.2131    
tcc_wr1   	1.3255    
tcc_wr2   	1.4051    
tcc_wr3   	1.5495    
tcc_wr4   	1.7620    
tcc_wr5   	1.8943    
